year,week,loc,state,country,loc_type,number,event
1980,19,MICHIGAN,MI,US,STATE,5,CASES
1980,19,WISCONSIN,WI,US,STATE,104,CASES
1980,19,MINNESOTA,MN,US,STATE,85,CASES
1980,19,KANSAS,KS,US,STATE,5,CASES
1980,19,VIRGINIA,VA,US,STATE,16,CASES
1980,19,NORTH CAROLINA,NC,US,STATE,2,CASES
1980,19,SOUTH CAROLINA,SC,US,STATE,5,CASES
1980,19,GEORGIA,GA,US,STATE,11,CASES
1980,19,FLORIDA,FL,US,STATE,24,CASES
1980,19,TENNESSEE,TN,US,STATE,84,CASES
1980,19,OKLAHOMA,OK,US,STATE,43,CASES
1980,19,TEXAS,TX,US,STATE,2,CASES
1980,19,COLORADO,CO,US,STATE,3,CASES
1980,19,ARIZONA,AZ,US,STATE,39,CASES
1980,19,WASHINGTON,WA,US,STATE,8,CASES
1980,19,CALIFORNIA,CA,US,STATE,59,CASES
1980,19,PUERTO RICO,PR,US,STATE,1,CASES
1980,20,MAINE,ME,US,STATE,1,CASES
1980,20,NEW HAMPSHIRE,NH,US,STATE,8,CASES
1980,20,VERMONT,VT,US,STATE,7,CASES
1980,20,MASSACHUSETTS,MA,US,STATE,2,CASES
1980,20,UPSTATE NEW YORK,NY,US,STATE,43,CASES
1980,20,NEW YORK CITY,NY,US,STATE,59,CASES
1980,20,NEW JERSEY,NJ,US,STATE,107,CASES
1980,20,PENNSYLVANIA,PA,US,STATE,145,CASES
1980,20,INDIANA,IN,US,STATE,6,CASES
1980,20,ILLINOIS,IL,US,STATE,3,CASES
1980,20,MICHIGAN,MI,US,STATE,6,CASES
1980,20,WISCONSIN,WI,US,STATE,72,CASES
1980,20,MINNESOTA,MN,US,STATE,59,CASES
1980,20,MISSOURI,MO,US,STATE,1,CASES
1980,20,KANSAS,KS,US,STATE,3,CASES
1980,20,VIRGINIA,VA,US,STATE,11,CASES
1980,20,WEST VIRGINIA,WV,US,STATE,2,CASES
1980,20,NORTH CAROLINA,NC,US,STATE,2,CASES
1980,20,SOUTH CAROLINA,SC,US,STATE,6,CASES
1980,20,GEORGIA,GA,US,STATE,13,CASES
1980,20,FLORIDA,FL,US,STATE,10,CASES
